   r,m	P, W/m^2
---------------------------
0.100000	1534.972410
0.199000	378.357901
0.298000	177.055049
0.397000	100.206352
0.496000	64.109417
0.595000	42.877466
0.694000	29.830177
0.793000	22.326817
0.892000	19.581697
0.991000	17.108270
1.090000	13.216611
1.189000	10.846968
1.288000	11.158819
1.387000	7.696877
1.486000	7.901289
1.585000	5.791496
1.684000	6.329660
1.783000	4.528671
1.882000	3.893952
1.981000	5.044400
2.080000	2.449457
2.179000	3.181142
2.278000	3.738026
2.377000	2.579886
2.476000	2.592067
2.575000	2.236961
2.674000	1.438334
2.773000	1.525440
2.872000	1.751480
2.971000	1.205590
3.070000	1.893802
3.169000	1.095958
3.268000	0.889748
3.367000	0.718228
3.466000	1.739022
3.565000	1.541795
3.664000	1.321666
3.763000	1.144511
3.862000	0.469227
3.961000	1.075675
4.060000	1.650640
4.159000	1.371113
4.258000	0.710153
4.357000	1.244130
4.456000	1.357487
4.555000	1.157310
4.654000	0.512234
4.753000	0.870238
4.852000	0.283898
4.951000	1.037999
5.050000	0.679845
5.149000	0.360696
5.248000	0.213035
5.347000	0.290251
5.446000	0.215753
5.545000	0.236845
5.644000	0.202302
5.743000	0.276003
5.842000	0.622810
5.941000	0.146616
6.040000	0.413455
6.139000	0.109471
6.238000	0.423462
6.337000	0.424585
6.436000	0.709826
6.535000	0.322867
6.634000	0.486862
6.733000	0.834007
6.832000	0.529521
6.931000	0.444610
7.030000	0.056006
7.129000	0.380050
7.228000	0.286404
7.327000	0.096853
7.426000	0.643503
7.525000	0.076610
7.624000	0.234558
7.723000	0.675551
7.822000	0.319081
7.921000	0.102548
8.020000	0.457936
8.119000	0.593832
8.218000	0.165835
8.317000	0.596486
8.416000	0.342637
8.515000	0.577923
8.614000	0.378009
8.713000	0.263193
8.812000	0.029300
8.911000	0.408104
9.010000	0.263453
9.109000	0.106317
9.208000	0.261073
9.307000	0.161808
9.406000	0.253867
9.505000	0.260336
9.604000	0.460363
9.703000	0.011011
9.802000	0.252769
9.901000	0.228723
10.000000	0.117147
